tempo,vazao
1,	2.9124
2,	2.5259
3,	2.9803
4,	2.9008
5,	2.8781
6,	2.5077
7,	2.5872
8,	2.5099
9,	2.3101
10,	2.8106
11,	2.7645
12,	2.6168
13,	2.5486
14,	2.5435
15,	1.7608
16,	1.49952
17,	1.4768
18,	1.39728
19,	1.3064
20,	1.37456
21,	1.44272
22,	1.3632
23,	1.3632
24,	1.32912
25,	1.31776
26,	1.39728
27,	1.39728
28,	1.39728
29,	1.37456
30,	1.3064
31,	1.32912
32,	1.34048
33,	1.37456
34,	1.31776
35,	1.32912
36,	1.40864
37,	1.42
38,	1.51088
39,	1.49952
40,	1.45408
41,	1.43136
42,	1.4768
43,	1.5336
44,	1.45408
45,	1.43136
46,	1.44272
47,	1.55632
48,	1.60176
49,	1.45408
50,	1.48816
51,	1.4768
52,	1.5336
53,	1.46544
54,	1.38592
55,	1.37456
56,	1.28368
57,	1.34048
58,	1.42
59,	1.44272
60,	1.4768
61,	1.43136
62,	1.42
63,	1.3632
64,	1.43136
65,	1.35184
66,	1.44272
67,	1.51088
68,	1.54496
69,	1.52224
70,	1.52224
71,	1.3632
72,	1.46544
73,	1.42
74,	1.43136
75,	1.43136
76,	1.44272
77,	1.56768
78,	1.63584
79,	1.51088
80,	1.56768
81,	1.48816
82,	1.43136
83,	1.49952
84,	1.55632
85,	1.62448
86,	1.60176
87,	1.57904
88,	1.43136
89,	1.52224
90,	1.62448
91,	1.54496
92,	1.4768
93,	1.45408
94,	1.56768
95,	1.39728
96,	1.48816
97,	1.49952
98,	1.54496
99,	1.55632
100,	1.46544
101,	1.4768
102,	1.45408
103,	1.48816
104,	1.63584
105,	1.68128
106,	1.52224
107,	1.56768
108,	1.57904
109,	1.54496
110,	1.57904
111,	1.57904
112,	1.51088
113,	1.5904
114,	1.49952
115,	1.5336
116,	1.54496
117,	1.51088
118,	1.52224
119,	1.5336
120,	1.45408
121,	1.24512
122,	1.6816
123,	1.69296
124,	1.72704
125,	1.7384
126,	1.7384
127,	1.81792
128,	1.86336
129,	1.86336
130,	1.18852
131,	1.92016
132,	1.95424
133,	1.9656
134,	1.9656
135,	1.05648
136,	1.9656
137,	1.97696
138,	1.98832
139,	1.21104
140,	1.0224
141,	1.5784
142,	1.0951
143,	1.31104
144,	1.0792
145,	1.0792
146,	1.06784
147,	1.10192
148,	1.1928
149,	1.20416
150,	1.15872
151,	1.21552
152,	1.23824
153,	1.18144
154,	1.30192
155,	1.0792
156,	1.5392
157,	1.27232
158,	1.1928
159,	1.21552
160,	1.26096
161,	1.12464
162,	1.1928
163,	1.3064
164,	1.27232
165,	1.22688
166,	1.31328
167,	1.10192
168,	1.34048
169,	1.28368
170,	1.28368
171,	1.34048
172,	1.26096
173,	1.22688
174,	1.3064
175,	1.18144
176,	1.23824
177,	1.23824
178,	1.23824
179,	1.27232
180,	1.23824
181,	1.32912
182,	1.34048
183,	1.26096
184,	1.3632
185,	1.32912
186,	1.37456
187,	1.35184
188,	1.42
189,	1.32912
190,	1.35184
191,	1.37456
192,	1.32912
193,	1.3632
194,	1.40864
195,	1.40864
196,	1.2496
197,	1.3632
198,	1.40864
199,	1.46544
200,	1.29504
201,	1.3632
202,	1.38592
203,	1.3632
204,	1.37456
205,	1.34048
206,	1.39728
207,	1.4768
208,	1.32912
209,	1.46544
210,	1.52224
211,	1.49952
212,	1.40864
213,	1.45408
214,	1.3632
215,	1.45408
216,	1.4768
217,	1.48816
218,	1.46544
219,	1.45408
220,	1.3064
221,	1.32912
222,	1.32912
223,	1.3632
224,	1.27232
225,	1.37456
226,	1.43136
227,	1.4768
228,	1.48816
229,	1.49952
230,	1.55632
231,	1.51088
232,	1.5336
233,	1.5336
234,	1.46544
235,	1.46544
236,	1.39728
237,	1.29504
238,	1.40864
239,	1.4768
240,	1.34048
241,	1.23824
242,	1.32912
243,	1.2496
244,	1.20416
245,	1.26096
246,	1.3064
247,	1.45408
248,	1.43136
249,	1.4768
250,	1.43136
251,	1.48816
252,	1.45408
253,	1.52224
254,	1.57904
255,	1.56768
256,	1.49952
257,	1.45408
258,	1.38592
259,	1.49952
260,	1.40864
261,	1.45408
262,	1.32912
263,	1.45408
264,	1.55632
265,	1.5336
266,	1.68128
267,	1.5904
268,	1.57904
269,	1.61312
270,	1.56768
271,	1.60176
272,	1.0474
273,	1.71536
274,	1.5904
275,	1.5336
276,	1.61312
277,	1.69264
278,	1.60176
279,	1.44272
280,	1.56768
281,	1.62448
282,	1.62448
283,	1.74944
284,	1.66992
285,	1.68128
286,	1.56768
287,	1.60176
288,	1.5904
289,	1.5904
290,	1.18816
291,	1.6472
292,	1.54496
293,	1.5904
294,	1.56768
295,	1.52224
296,	1.60176
297,	1.56768
298,	1.61312
299,	1.60176
300,	1.5336
301,	1.60176
302,	1.55632
303,	1.60176
304,	1.54496
305,	1.60176
306,	1.57904
307,	1.60176
308,	1.65856
309,	1.68128
310,	1.71536
311,	1.5904
312,	1.5904
313,	1.6472
314,	1.69264
315,	1.62448
316,	1.66992
317,	1.5904
318,	1.52224
319,	1.65856
320,	1.70114
321,	1.66992
322,	1.72672
323,	1.68128
324,	1.79041
325,	1.66992
326,	1.68128
327,	1.72672
328,	1.68128
329,	1.80624
330,	1.7608
331,	1.79488
332,	1.66992
333,	1.71536
334,	1.85168
335,	1.62448
336,	1.5904
337,	1.55632
338,	1.60176
339,	1.56768
340,	1.5904
341,	1.61312
342,	1.65856
343,	1.5904
344,	1.69264
345,	1.54496
346,	1.44272
347,	1.4768
348,	1.52224
349,	1.57904
350,	1.61312
351,	1.65856
352,	1.65856
353,	1.5904
354,	1.5904
355,	1.5904
356,	1.6472
357,	1.63584
358,	1.57904
359,	1.48816
